lag,pv_correlation_mean,pv_correlation_sem,n_pairs
1,0.8790726661765185,0.002591615650707631,29
2,0.8754479932128488,0.0038929252205746204,28
3,0.872117750123792,0.003936133586777544,27
4,0.8717401370254447,0.003882945762754868,26
5,0.8670373514020138,0.0038838997106696916,25
6,0.8665687418568323,0.003861063100214517,24
7,0.8616994858102042,0.004487245104398548,23
8,0.8594754140850361,0.004520274218356089,22
9,0.8579123653598667,0.004602467532820208,21
10,0.8559255492816314,0.004837473457988482,20
11,0.853722546675585,0.004232272705508079,19
12,0.84962139136517,0.004488665342637318,18
13,0.8458614640819694,0.005088099957804075,17
14,0.8426840288289974,0.00598830883824661,16
15,0.8395899410945855,0.00610967323051292,15
16,0.8400075836957599,0.005465747167902595,14
17,0.8322794873751849,0.006203163791597599,13
18,0.8277729091805862,0.006917741641751192,12
19,0.8254814322787571,0.007171944917515768,11
20,0.8280860417055965,0.006049948170887491,10
21,0.8209604593995282,0.007171754729226869,9
22,0.8164285332795076,0.008435363788083901,8
23,0.8139415303702676,0.005906161876875697,7
24,0.805398337642199,0.00976760289697855,6
25,0.796933203962765,0.006915795819643562,5
26,0.7852875061692918,0.006861241580651318,4
27,0.7726446930991675,0.011910276480534339,3
28,0.7552087373204124,0.02736537074221995,2
29,0.7622767623745836,nan,1
