lag,n_mice,pv_correlation_mean,pv_correlation_sem,pv_correlation_std
1,16,0.7776326345431588,0.02124169903333209,0.08496679613332836
2,16,0.7685386971400034,0.02182008404401651,0.08728033617606604
3,16,0.7623905843652269,0.02257620010129449,0.09030480040517797
4,16,0.75706154324283,0.023087168776030603,0.09234867510412241
5,16,0.7555063676005271,0.023062537721002217,0.09225015088400887
6,16,0.7547981031680833,0.022856152290613937,0.09142460916245575
7,16,0.7516630464483216,0.02239816074468868,0.08959264297875472
8,16,0.7525747000872132,0.022342988382504352,0.08937195353001741
9,16,0.7501743846943278,0.022446056925814962,0.08978422770325985
10,16,0.7467836749041057,0.022496488820529986,0.08998595528211994
11,16,0.7458612549210195,0.0226558568142586,0.0906234272570344
12,16,0.7402897884443335,0.02305171441752839,0.09220685767011357
13,16,0.7404269597130728,0.022444138257541702,0.08977655303016681
14,16,0.7404758553142043,0.022216143909014944,0.08886457563605978
15,16,0.7390765933071499,0.022299036448551444,0.08919614579420578
16,16,0.7388147511741049,0.022286678022060476,0.0891467120882419
17,16,0.7381092779171454,0.021894961489009126,0.0875798459560365
18,16,0.7358798904009156,0.02197961428463649,0.08791845713854596
19,16,0.734451186960742,0.021481063082486297,0.08592425232994519
20,16,0.7327397050120855,0.02114492856990438,0.08457971427961752
21,16,0.7288841849548945,0.021709116679924444,0.08683646671969777
22,16,0.7298571577494104,0.021389248541209053,0.08555699416483621
23,16,0.7283509328541875,0.020785161210785733,0.08314064484314293
24,16,0.7223298840344258,0.021531923552850257,0.08612769421140103
25,16,0.7231398173900997,0.022155619999490048,0.08862247999796019
26,16,0.7216903959124834,0.021026719158615422,0.08410687663446169
27,16,0.7185836369671803,0.021553994006179158,0.08621597602471663
28,16,0.7116889066935451,0.020947808479811116,0.08379123391924446
29,16,0.7075688320105272,0.021177235138526037,0.08470894055410415
