lag,ensemble_rate_correlation_mean,ensemble_rate_correlation_sem,n_mice
1,0.9670183110848614,0.004803482544286741,16
2,0.9562213133419903,0.006093729301313863,16
3,0.9507072977934021,0.007073951823826095,16
4,0.9462094142643936,0.007636042223779631,16
5,0.9449953343143915,0.007432598251201143,16
6,0.9445011123490937,0.007015387867660992,16
7,0.9419833469462435,0.00699008577365385,16
8,0.9413247675470878,0.007198376366357543,16
9,0.940196172978758,0.00715127550173784,16
10,0.9381958680411799,0.0073952766732096765,16
11,0.9343994957273313,0.008199474468077414,16
12,0.9306230666406856,0.008649324938492565,16
13,0.9288537124640525,0.008792837328326072,16
14,0.9289535995420695,0.008564317702996744,16
15,0.9263645904421727,0.00942239672089604,16
16,0.9274447047062033,0.00949222826302575,16
17,0.9245691082783524,0.009877125540323758,16
18,0.9234049391174615,0.009993075277798403,16
19,0.9220702966073372,0.0104799169349817,16
20,0.9209784254864615,0.010669738614034332,16
21,0.9157690072408096,0.01185016537117381,16
22,0.9174678910327809,0.011267789681993167,16
23,0.9154308725434367,0.011319414114917829,16
24,0.9089465150036184,0.011492803447587244,16
25,0.9106384761068547,0.01124507614942862,16
26,0.9067962818652804,0.011474140852243353,16
27,0.9018135991577312,0.012201417665653518,16
28,0.8966876482266593,0.012037519050280719,16
29,0.897484619910573,0.013022182793376741,16
